                                              Weather Data Report 
                                            Date Created: 29/09/2024 

Number    Station Name         Highest (tmax)    Lowest (tmin)     Average Annual AF     Average Annual Rainfall   
--------  -------------------  ----------------  ----------------  --------------------  -------------------------  
1         Southampton          NaN               NaN               NaN                   NaN                       
2         Ballypatrick Forest  7/2015            12/2012           23.2                  1415.91                   
3         Cardiff Bute Park    7/2015            12/2012           37.3                  1170.36                   
4         Eastbourne           7/2015            12/2012           16.9                  795.44                    
5         Yeovilton            7/2015            12/2012           50.8                  707.94                    
6         Sheffield            7/2015            12/2012           26.3                  789.27                    
7         Sutton Bonington     7/2015            12/2012           41.1                  601.77                    
8         Nairn                7/2015            12/2012           53.7                  679.00                    
9         Lerwick              7/2011            12/2012           27.9                  1276.18                   
10        Camborne             7/2015            12/2012           9.0                   1085.88                   
11        Heathrow             7/2015            12/2012           28.3                  619.10                    
12        Lowestoft            7/2012            12/2012           29.3                  620.54                    
13        Hurn                 7/2015            12/2012           55.9                  896.66                    
14        Valley               7/2015            12/2012           19.6                  875.47                    
15        Chivenor             7/2015            12/2012           21.1                  966.61                    
16        Dunstaffnage         7/2015            12/2012           28.0                  1766.29                   
17        Armagh               7/2015            12/2012           40.2                  855.66                    
18        Cwmystwyth           6/2012            12/2012           85.5                  1562.73                   
19        Newton Rigg          7/2015            12/2012           63.6                  996.74                    
20        Durham               NaN               NaN               NaN                   NaN                       
21        Tiree                7/2015            12/2012           10.2                  1329.63                   
22        Aberporth            7/2015            12/2012           16.0                  933.48                    
23        Leuchars             7/2015            12/2012           56.7                  748.42                    
24        Whitby               7/2015            12/2012           31.3                  752.67                    
25        Ringway              NaN               NaN               NaN                   NaN                       
26        Stornoway Airport    7/2016            12/2012           23.1                  1233.39                   
27        Eskdalemuir          7/2015            12/2012           83.2                  1936.67                   
28        Ross-on-Wye          7/2015            12/2012           41.8                  750.71                    
29        Oxford               7/2015            12/2012           34.4                  662.04                    
30        Cambridge NIAB       7/2015            12/2012           39.7                  536.16                    
31        Bradford             7/2015            12/2012           39.6                  878.27                    
32        Wick Airport         7/2015            12/2012           36.7                  791.81                    
33        Waddington           7/2015            12/2012           36.7                  596.23                    
34        Manston              8/2011            12/2012           22.6                  640.09                    
35        Braemar              7/2015            12/2012           107.6                 938.53                    
36        Shawbury             7/2015            12/2012           56.9                  669.73                    
37        Paisley              7/2015            12/2012           42.9                  1277.59                   
